epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.756,1.82415,2.8557,1.34369,0.89596,0.08827,0.14149,0.06026,1.88975,3.15815,1.31149,0.000252773,0.000252773,0.000252773
2,552.008,1.56078,1.50268,1.20242,0.5983,0.39731,0.47709,0.23088,1.62873,1.5124,1.22796,0.000504066,0.000504066,0.000504066
3,821.651,1.47121,1.23798,1.15538,0.64917,0.53883,0.60463,0.35065,1.54508,1.22464,1.14654,0.000750284,0.000750284,0.000750284
4,1095.41,1.40846,1.1039,1.1312,0.64869,0.66263,0.65068,0.37558,1.43486,1.0997,1.12271,0.000746161,0.000746161,0.000746161
5,1371.79,1.35031,1.01636,1.10882,0.64248,0.65526,0.704,0.41983,1.34497,1.03437,1.10305,0.000738548,0.000738548,0.000738548
6,1648.62,1.31801,0.94356,1.08905,0.71835,0.6715,0.69986,0.32301,1.79941,1.11938,1.25802,0.000730935,0.000730935,0.000730935
7,1915.78,1.28105,0.90199,1.07653,0.69579,0.72924,0.75313,0.43036,1.37208,0.96252,1.08898,0.000723321,0.000723321,0.000723321
8,2181.11,1.29076,0.89625,1.0712,0.76459,0.68785,0.7554,0.46394,1.31051,0.98204,1.11277,0.000715708,0.000715708,0.000715708
9,2448.03,1.23878,0.85113,1.05031,0.76114,0.73801,0.78813,0.50082,1.26534,0.96176,1.08392,0.000708095,0.000708095,0.000708095
10,2714.97,1.2269,0.82729,1.04576,0.78977,0.75961,0.77487,0.47643,1.2905,0.89499,1.09197,0.000700482,0.000700482,0.000700482
11,2981.23,1.17544,0.78797,1.03122,0.72289,0.74554,0.78871,0.47386,1.35241,0.90594,1.09834,0.000692869,0.000692869,0.000692869
12,3258.38,1.16831,0.78216,1.02839,0.76324,0.77407,0.80057,0.48558,1.28593,0.88808,1.09617,0.000685256,0.000685256,0.000685256
13,3537.11,1.15095,0.75308,1.01844,0.78636,0.77686,0.80478,0.51815,1.24874,0.86274,1.06834,0.000677643,0.000677643,0.000677643
14,3813.39,1.14786,0.7433,1.01357,0.86097,0.77085,0.81453,0.51412,1.2724,0.8411,1.07991,0.00067003,0.00067003,0.00067003
15,4082.33,1.13335,0.72219,1.0079,0.82865,0.76654,0.81366,0.51588,1.25543,0.80854,1.06263,0.000662417,0.000662417,0.000662417
16,4347.91,1.11514,0.70512,1.00406,0.78254,0.76177,0.81498,0.51352,1.23662,0.85024,1.07274,0.000654804,0.000654804,0.000654804
17,4613.7,1.09831,0.69541,0.99557,0.88283,0.72973,0.8224,0.52372,1.22996,0.81518,1.08008,0.00064719,0.00064719,0.00064719
18,4879.07,1.0881,0.68124,0.9923,0.76622,0.77991,0.81637,0.47676,1.47355,0.85668,1.11883,0.000639577,0.000639577,0.000639577
19,5144.13,1.09085,0.67008,0.98725,0.843,0.78071,0.82388,0.53901,1.26252,0.84007,1.09963,0.000631964,0.000631964,0.000631964
20,5408.62,1.0675,0.65657,0.98226,0.80979,0.80042,0.81914,0.524,1.27347,0.82252,1.07761,0.000624351,0.000624351,0.000624351
21,5672.83,1.07012,0.65454,0.98573,0.85719,0.76126,0.81558,0.53739,1.22531,0.81759,1.05897,0.000616738,0.000616738,0.000616738
22,5938.96,1.04625,0.63865,0.97313,0.87201,0.79993,0.84499,0.5427,1.22143,0.77569,1.06467,0.000609125,0.000609125,0.000609125
23,6206.02,1.03318,0.63528,0.97245,0.75807,0.78821,0.82938,0.5346,1.26242,0.81463,1.0738,0.000601512,0.000601512,0.000601512
24,6472.73,1.03145,0.62276,0.96976,0.78337,0.81505,0.82346,0.49862,1.32391,0.8149,1.08903,0.000593899,0.000593899,0.000593899
25,6747.97,1.02142,0.61568,0.96626,0.80813,0.81417,0.82243,0.51558,1.27977,0.81341,1.08305,0.000586286,0.000586286,0.000586286
26,7027,1.01081,0.61394,0.96602,0.79298,0.82286,0.83382,0.54425,1.22225,0.79247,1.0752,0.000578672,0.000578672,0.000578672
27,7305.67,1.01205,0.60554,0.9596,0.86117,0.75685,0.83554,0.54368,1.24561,0.79593,1.07838,0.000571059,0.000571059,0.000571059
28,7576.52,1.01181,0.59952,0.96074,0.862,0.80602,0.8428,0.55413,1.26553,0.76833,1.06845,0.000563446,0.000563446,0.000563446
29,7842.92,0.99082,0.59202,0.95147,0.84217,0.80511,0.83428,0.53656,1.22794,0.81117,1.07108,0.000555833,0.000555833,0.000555833
30,8108.44,0.98382,0.58613,0.95671,0.86455,0.7585,0.82671,0.53546,1.21706,0.75974,1.0612,0.00054822,0.00054822,0.00054822
31,8373.22,0.96526,0.5755,0.95118,0.83882,0.79535,0.83422,0.51698,1.27555,0.78451,1.07875,0.000540607,0.000540607,0.000540607
32,8638.29,0.97173,0.57439,0.94933,0.85564,0.78443,0.84244,0.55768,1.22666,0.77892,1.07888,0.000532994,0.000532994,0.000532994
33,8904.02,0.99202,0.57728,0.95425,0.83397,0.7977,0.83251,0.54507,1.25101,0.7532,1.07644,0.000525381,0.000525381,0.000525381
34,9168.78,0.9576,0.5668,0.93973,0.84883,0.80338,0.8306,0.53665,1.28498,0.78999,1.08534,0.000517768,0.000517768,0.000517768
35,9433.48,0.93744,0.55673,0.93845,0.87586,0.78351,0.83012,0.52672,1.25462,0.81065,1.08077,0.000510155,0.000510155,0.000510155
36,9698.18,0.93562,0.55979,0.94066,0.87537,0.78764,0.84402,0.55495,1.24311,0.77095,1.08433,0.000502541,0.000502541,0.000502541
37,9963.51,0.95218,0.55923,0.93991,0.84329,0.80463,0.83246,0.54511,1.21354,0.78637,1.07404,0.000494928,0.000494928,0.000494928
38,10227.4,0.92571,0.54994,0.93457,0.83807,0.78155,0.82712,0.54084,1.23442,0.7624,1.07757,0.000487315,0.000487315,0.000487315
39,10491.9,0.94153,0.55244,0.94033,0.86734,0.77972,0.83641,0.55565,1.2115,0.77923,1.05983,0.000479702,0.000479702,0.000479702
40,10756.5,0.94756,0.55172,0.94065,0.83584,0.81798,0.84023,0.5498,1.20891,0.7572,1.07357,0.000472089,0.000472089,0.000472089
41,11022.3,0.95149,0.54816,0.93916,0.87426,0.78786,0.82784,0.54009,1.18941,0.75007,1.06014,0.000464476,0.000464476,0.000464476
42,11287.9,0.90199,0.53103,0.92666,0.89492,0.7745,0.84285,0.56516,1.20333,0.75543,1.06261,0.000456863,0.000456863,0.000456863
43,11552.9,0.92181,0.53351,0.93019,0.79125,0.80921,0.82746,0.52381,1.36391,0.78891,1.11046,0.00044925,0.00044925,0.00044925
44,11817.8,0.89845,0.52739,0.9259,0.85281,0.82239,0.84143,0.55308,1.19515,0.71938,1.04621,0.000441637,0.000441637,0.000441637
45,12082.4,0.89994,0.52275,0.92349,0.8447,0.81048,0.83713,0.5547,1.2322,0.77103,1.06439,0.000434024,0.000434024,0.000434024
46,12347.5,0.89892,0.52169,0.92259,0.84658,0.80966,0.83149,0.52938,1.27688,0.76541,1.07707,0.000426411,0.000426411,0.000426411
47,12612.8,0.89467,0.5188,0.92407,0.83674,0.82315,0.83224,0.55346,1.18239,0.73148,1.05771,0.000418797,0.000418797,0.000418797
48,12877.9,0.8868,0.51518,0.92353,0.82189,0.80459,0.83639,0.54758,1.24521,0.76736,1.0966,0.000411184,0.000411184,0.000411184
49,13142.1,0.88816,0.51454,0.92155,0.79307,0.80652,0.82232,0.5458,1.20867,0.74608,1.07472,0.000403571,0.000403571,0.000403571
