epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.063,2.66158,3.40346,2.18632,0.8732,0.04903,0.06519,0.02612,2.36157,2.83452,1.81575,0.000252773,0.000252773,0.000252773
2,581.206,2.10432,1.99424,1.57209,0.63691,0.15709,0.17687,0.085,1.92775,1.85023,1.42981,0.000504066,0.000504066,0.000504066
3,873.86,1.88528,1.68225,1.41325,0.49442,0.39155,0.30279,0.14507,1.73571,1.48829,1.28219,0.000750284,0.000750284,0.000750284
4,1159.46,1.7662,1.48683,1.33441,0.6572,0.34235,0.3909,0.20593,1.61698,1.33406,1.21379,0.000746161,0.000746161,0.000746161
5,1442.86,1.66339,1.35216,1.2797,0.66079,0.42502,0.51022,0.24025,1.67954,1.19087,1.22675,0.000738548,0.000738548,0.000738548
6,1726.36,1.60648,1.23315,1.24188,0.57379,0.54632,0.5247,0.23506,1.78008,1.26309,1.23082,0.000730935,0.000730935,0.000730935
7,2004.37,1.55153,1.17403,1.2125,0.5147,0.63225,0.6119,0.31354,1.57566,1.15891,1.16959,0.000723321,0.000723321,0.000723321
8,2284.79,1.55055,1.14467,1.2025,0.59659,0.66223,0.63988,0.33235,1.49012,1.09995,1.17371,0.000715708,0.000715708,0.000715708
9,2567.11,1.50803,1.09653,1.17963,0.6502,0.6254,0.66618,0.35719,1.56419,1.05814,1.1614,0.000708095,0.000708095,0.000708095
10,2845.61,1.47501,1.06123,1.16474,0.69444,0.60926,0.64232,0.33051,1.48995,1.04735,1.13848,0.000700482,0.000700482,0.000700482
11,3117.85,1.43087,1.01323,1.15067,0.70787,0.6366,0.65555,0.36644,1.45238,1.01805,1.12787,0.000692869,0.000692869,0.000692869
12,3389.33,1.40125,0.98327,1.13606,0.66823,0.65085,0.68794,0.3947,1.44701,1.00891,1.13079,0.000685256,0.000685256,0.000685256
13,3655.04,1.38701,0.94858,1.12513,0.74034,0.68342,0.70926,0.39356,1.4814,0.95602,1.12185,0.000677643,0.000677643,0.000677643
14,3909.74,1.3927,0.93684,1.12384,0.78696,0.68103,0.72508,0.39679,1.42167,0.96865,1.09966,0.00067003,0.00067003,0.00067003
15,4166.21,1.35864,0.91721,1.10556,0.75052,0.72161,0.74934,0.40416,1.39576,0.936,1.09474,0.000662417,0.000662417,0.000662417
16,4421.7,1.34597,0.89439,1.10374,0.76574,0.7254,0.73816,0.42844,1.34034,0.89976,1.07802,0.000654804,0.000654804,0.000654804
17,4677.32,1.32048,0.8737,1.08973,0.7586,0.71847,0.74653,0.42798,1.37866,0.92006,1.09711,0.00064719,0.00064719,0.00064719
18,4932.05,1.32943,0.8676,1.09121,0.78606,0.69756,0.75635,0.44939,1.38178,0.88531,1.08738,0.000639577,0.000639577,0.000639577
19,5186.04,1.31406,0.85328,1.07912,0.722,0.71356,0.74011,0.4376,1.36619,0.8898,1.09646,0.000631964,0.000631964,0.000631964
20,5440.84,1.2978,0.83857,1.07638,0.74306,0.7405,0.76015,0.46103,1.3572,0.85576,1.08848,0.000624351,0.000624351,0.000624351
21,5695.58,1.28567,0.82435,1.07586,0.76868,0.74104,0.76612,0.44383,1.34366,0.87556,1.08206,0.000616738,0.000616738,0.000616738
22,5951.7,1.27587,0.8112,1.06803,0.7713,0.73874,0.77447,0.46483,1.32934,0.8475,1.07342,0.000609125,0.000609125,0.000609125
23,6207.54,1.26272,0.80248,1.06192,0.80549,0.71644,0.77412,0.45367,1.34804,0.85005,1.08527,0.000601512,0.000601512,0.000601512
24,6462.44,1.26297,0.79197,1.05903,0.77193,0.71594,0.77138,0.4559,1.36989,0.8735,1.09813,0.000593899,0.000593899,0.000593899
25,6717.71,1.25761,0.7873,1.05877,0.81872,0.72935,0.77427,0.44723,1.42904,0.86099,1.10695,0.000586286,0.000586286,0.000586286
26,6973.06,1.23329,0.77427,1.05228,0.75257,0.74226,0.75478,0.4551,1.3565,0.84959,1.08318,0.000578672,0.000578672,0.000578672
